lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,beta_raw.1,beta_raw.2,beta_raw.3,beta_raw.4,beta_raw.5,beta_raw.6,beta_raw.7,beta_raw.8,beta_raw.9,beta_raw.10,beta_raw.11,beta_raw.12,beta_raw.13,beta_raw.14,beta_raw.15,beta_raw.16,beta_raw.17,beta_raw.18,beta_raw.19,beta_raw.20,beta_raw.21,beta_raw.22,beta_raw.23,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,norm
# Adaptation terminated
# Step size = 0.151695
# Diagonal elements of inverse mass matrix:
# 0.404582, 0.224494, 0.685881, 0.456659, 0.380265, 0.414224, 0.196387, 0.285231, 0.234337, 0.209745, 0.502202, 0.370394, 0.162439, 0.419093, 0.274297, 0.377738, 0.553896, 0.774812, 0.407203, 0.474986, 0.134483, 0.216251, 0.192005, 0.657311, 0.300013, 0.233999, 0.493815, 0.268941, 0.273315, 0.285334, 0.17061, 0.270636, 0.160861, 0.263417, 0.31326, 0.282115, 0.149221, 0.237485, 0.392068, 0.247231, 0.248677, 0.557605, 0.293086, 0.432522, 0.242783, 0.296433, 0.171184
-100.789,0.956705,0.151695,5,31,0,118.179,2.96502,1.40976,0.0792137,4.60496,1.70727,1.16146,0.992629,1.10562,1.14941,1.20887,0.497268,0.814932,1.555,0.771137,1.48124,0.216184,1.60176,1.16261,0.237351,0.924827,3.15715,0.968855,2.16372,0.104513,0.300691,-0.408364,-1.1221,-0.536471,-0.286891,-0.0739433,0.193839,1.4707,0.0782796,1.12872,-0.106407,1.05643,-0.180808,-0.816321,1.8051,-1.49122,-1.18706,-0.0369949,-0.25383,0.61392,1.58526,0.142186,0.234081,0.300691,-0.408364,-1.1221,-0.536471,-0.286891,-0.0739433,0.193839,1.4707,0.0782796,1.12872,-0.106407,1.05643,-0.180808,-0.816321,1.8051,-1.49122,-1.18706,-0.0369949,-0.25383,0.61392,1.58526,0.142186,0.234081,-2.10881,2.10881
-95.5999,0.973559,0.151695,5,31,0,121.745,1.14215,1.35267,0.0701982,0.955016,0.246168,0.781738,0.938631,0.477426,1.48234,2.22937,1.90172,0.905693,2.1223,0.891947,1.25747,1.23778,1.34658,1.11847,1.2068,0.846721,1.27372,2.47092,1.51339,0.592845,-0.615763,-0.5999,0.364645,-1.14055,0.0794514,-0.204732,0.382406,1.44575,-0.906906,0.661323,0.157456,0.56984,0.0163732,-0.993731,0.383831,-0.376703,-0.166859,0.185131,0.0865561,0.308298,0.415607,0.756729,-0.479834,-0.615763,-0.5999,0.364645,-1.14055,0.0794514,-0.204732,0.382406,1.44575,-0.906906,0.661323,0.157456,0.56984,0.0163732,-0.993731,0.383831,-0.376703,-0.166859,0.185131,0.0865561,0.308298,0.415607,0.756729,-0.479834,-0.328412,0.328412
-101.196,0.981268,0.151695,5,31,0,116.719,0.506423,1.52622,0.0496681,1.33947,0.319958,0.733926,1.65236,0.20814,1.69154,2.47426,0.476178,0.552451,1.41348,0.766561,0.924177,1.28378,1.23414,0.734561,0.872588,0.987779,1.44654,2.50228,1.89723,1.86983,-0.814647,-0.53053,0.319617,-1.04575,0.833363,-0.473917,0.567368,1.26795,-1.05477,0.656988,0.0936036,0.329795,0.0757634,-0.368569,0.226675,-0.497229,-0.272272,0.691091,0.0272987,-0.0629417,0.340055,0.704691,-0.237322,-0.814647,-0.53053,0.319617,-1.04575,0.833363,-0.473917,0.567368,1.26795,-1.05477,0.656988,0.0936036,0.329795,0.0757634,-0.368569,0.226675,-0.497229,-0.272272,0.691091,0.0272987,-0.0629417,0.340055,0.704691,-0.237322,-0.776313,0.776313
-110.595,0.935141,0.151695,5,31,0,125.721,0.608542,2.38687,0.0199157,3.89647,0.966973,0.41684,1.06869,0.501757,0.358316,1.66443,0.385175,2.12748,2.16879,0.614659,1.83466,0.420632,1.02007,1.4154,0.572052,0.523477,2.17285,0.966707,2.58281,0.837529,0.223755,0.0586013,0.101153,-0.0760104,-0.209126,-0.183377,0.0940201,0.642697,0.372591,-0.396114,-0.112424,0.642658,-0.138253,0.347964,0.325387,-0.733626,-0.505244,-0.124337,-1.65767,1.25394,0.744865,1.14551,-0.381928,0.223755,0.0586013,0.101153,-0.0760104,-0.209126,-0.183377,0.0940201,0.642697,0.372591,-0.396114,-0.112424,0.642658,-0.138253,0.347964,0.325387,-0.733626,-0.505244,-0.124337,-1.65767,1.25394,0.744865,1.14551,-0.381928,-1.43502,1.43502
-102.128,0.955181,0.151695,5,31,0,131.376,0.194189,2.13476,0.538508,1.23662,0.724428,0.797725,1.06543,0.99856,1.16094,2.47659,0.187038,0.804316,1.76355,1.66972,0.837473,0.277358,0.355516,0.464122,0.789299,0.916717,2.51613,0.869495,2.11239,0.294998,-0.132033,0.0341293,-0.0377484,-0.784019,-0.27818,-0.0613326,0.284847,0.939415,0.0509906,0.395101,-0.964938,-0.155109,-0.0434402,-1.06686,0.836323,-0.428119,-0.917114,-0.213541,0.0529107,0.323158,1.37562,0.831473,0.386341,-0.132033,0.0341293,-0.0377484,-0.784019,-0.27818,-0.0613326,0.284847,0.939415,0.0509906,0.395101,-0.964938,-0.155109,-0.0434402,-1.06686,0.836323,-0.428119,-0.917114,-0.213541,0.0529107,0.323158,1.37562,0.831473,0.386341,-0.427865,0.427865
-92.6861,0.974263,0.151695,5,63,0,124.519,3.93311,1.97391,0.204005,1.7086,0.81006,2.25789,0.896341,0.345974,1.53308,3.32918,1.661,1.28765,0.793907,0.795318,1.51396,0.695537,3.1628,2.28478,0.222714,1.99544,3.68608,3.88363,1.03955,0.391918,0.0599803,-0.980263,-0.337565,-0.0187139,-0.0239382,-0.0118131,0.496241,0.588212,-0.442548,0.888721,0.152596,0.657421,-0.13574,-0.540122,0.0759914,-1.58539,-0.198707,1.05178,-1.26729,1.0734,0.693517,0.828129,-0.16922,0.0599803,-0.980263,-0.337565,-0.0187139,-0.0239382,-0.0118131,0.496241,0.588212,-0.442548,0.888721,0.152596,0.657421,-0.13574,-0.540122,0.0759914,-1.58539,-0.198707,1.05178,-1.26729,1.0734,0.693517,0.828129,-0.16922,-0.854685,0.854685
-99.2699,0.825221,0.151695,5,31,0,118.815,1.2088,1.10001,0.114875,4.23148,1.12725,1.30771,0.534799,0.881333,1.01712,3.39178,1.35765,1.67122,1.00622,0.706414,0.623719,0.115963,0.71817,0.584991,0.394192,0.518611,2.15811,1.79235,0.880202,0.0842708,0.472869,-0.712423,-0.651134,-0.211744,-1.1199,0.601001,0.410288,1.87982,-0.49943,0.521416,0.238527,0.964395,-0.79809,-0.568413,0.934027,-1.1879,0.0934206,-0.223265,-1.51873,0.97505,1.37581,0.0938585,-0.260286,0.472869,-0.712423,-0.651134,-0.211744,-1.1199,0.601001,0.410288,1.87982,-0.49943,0.521416,0.238527,0.964395,-0.79809,-0.568413,0.934027,-1.1879,0.0934206,-0.223265,-1.51873,0.97505,1.37581,0.0938585,-0.260286,-0.809173,0.809173
-102.587,0.954102,0.151695,5,31,0,123.971,3.97993,1.77263,0.261878,1.98542,0.359606,0.97231,0.602084,0.513233,1.22779,3.99579,1.33172,1.54219,1.50336,1.1022,1.85213,0.279219,1.33065,1.4867,0.0725993,1.20751,3.95508,3.40416,1.4764,0.357653,0.180604,-0.615038,-1.30392,0.270521,0.060923,0.194845,0.332641,0.855778,-0.34023,1.12704,0.166837,0.731356,-0.400776,0.119711,1.85112,-1.33793,0.216511,1.09258,-1.692,0.096253,1.05069,0.981778,-0.70997,0.180604,-0.615038,-1.30392,0.270521,0.060923,0.194845,0.332641,0.855778,-0.34023,1.12704,0.166837,0.731356,-0.400776,0.119711,1.85112,-1.33793,0.216511,1.09258,-1.692,0.096253,1.05069,0.981778,-0.70997,-2.92932,2.92932
-107.035,0.998974,0.151695,5,31,0,127.732,0.466798,0.694004,0.0784095,1.92992,1.27477,2.54741,2.83584,0.429427,0.992341,3.03581,2.61729,0.488331,0.466781,0.906413,0.291334,0.678441,2.82938,0.951772,1.36214,0.82688,1.45,3.88594,0.995139,0.36916,-0.109356,-0.534299,-0.197593,-0.788025,-1.42116,1.38224,0.798936,0.122344,-0.912565,1.16462,1.52027,-0.190344,-0.192188,-1.70929,-0.103314,-1.69736,0.31935,0.0630366,0.018026,0.633711,1.09273,1.81534,-0.516433,-0.109356,-0.534299,-0.197593,-0.788025,-1.42116,1.38224,0.798936,0.122344,-0.912565,1.16462,1.52027,-0.190344,-0.192188,-1.70929,-0.103314,-1.69736,0.31935,0.0630366,0.018026,0.633711,1.09273,1.81534,-0.516433,-0.558675,0.558675
-102.921,0.996384,0.151695,5,31,0,127.987,0.817837,1.28093,1.8854,1.48565,0.331659,0.575589,0.799911,0.241245,1.00696,5.55216,1.65511,1.14069,1.21832,0.430066,1.1463,0.907419,2.44637,0.881386,0.236999,0.577568,2.00442,2.16682,0.519862,1.16665,-0.719196,-1.27408,0.0898674,-1.12995,-0.54977,0.551692,0.0585261,0.863308,-1.12378,1.15584,0.323926,0.451147,-0.423642,-0.819335,-0.206112,-0.172241,0.715442,0.90897,-0.0582247,0.831517,1.24539,0.994538,-0.994793,-0.719196,-1.27408,0.0898674,-1.12995,-0.54977,0.551692,0.0585261,0.863308,-1.12378,1.15584,0.323926,0.451147,-0.423642,-0.819335,-0.206112,-0.172241,0.715442,0.90897,-0.0582247,0.831517,1.24539,0.994538,-0.994793,-0.719047,0.719047
